Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
AetherNet S2 — Trabajo,09/04/2026,8:10 PM,09/04/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/05/2026,11:20 AM,09/05/2026,2:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/05/2026,5:20 PM,09/05/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/06/2026,10:00 AM,09/06/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/07/2026,10:00 AM,09/07/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/07/2026,8:10 PM,09/07/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/08/2026,10:00 AM,09/08/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/08/2026,8:10 PM,09/08/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/09/2026,10:00 AM,09/09/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/09/2026,10:10 PM,09/09/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/10/2026,10:00 AM,09/10/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/10/2026,8:10 PM,09/10/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/11/2026,10:00 AM,09/11/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/11/2026,8:10 PM,09/11/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/12/2026,11:20 AM,09/12/2026,2:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/12/2026,5:20 PM,09/12/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/13/2026,10:00 AM,09/13/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/14/2026,10:00 AM,09/14/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/14/2026,8:10 PM,09/14/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/15/2026,10:00 AM,09/15/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/15/2026,8:10 PM,09/15/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/16/2026,10:00 AM,09/16/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/16/2026,10:10 PM,09/16/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/17/2026,10:00 AM,09/17/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/17/2026,8:10 PM,09/17/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/18/2026,10:00 AM,09/18/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/18/2026,8:10 PM,09/18/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/19/2026,11:20 AM,09/19/2026,2:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/19/2026,5:20 PM,09/19/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/20/2026,10:00 AM,09/20/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/21/2026,10:00 AM,09/21/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/21/2026,8:10 PM,09/21/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/22/2026,10:00 AM,09/22/2026,6:30 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S3 — Trabajo,09/22/2026,8:10 PM,09/22/2026,11:00 PM,FALSE,"AetherNet — Sprint 3: Rover & Telemetría | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/23/2026,10:00 AM,09/23/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/23/2026,10:10 PM,09/23/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/24/2026,10:00 AM,09/24/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/24/2026,8:10 PM,09/24/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/25/2026,10:00 AM,09/25/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/25/2026,8:10 PM,09/25/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/26/2026,11:20 AM,09/26/2026,2:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/26/2026,5:20 PM,09/26/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/27/2026,10:00 AM,09/27/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/28/2026,10:00 AM,09/28/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/28/2026,8:10 PM,09/28/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/29/2026,10:00 AM,09/29/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/29/2026,8:10 PM,09/29/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/30/2026,10:00 AM,09/30/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,09/30/2026,10:10 PM,09/30/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/01/2026,10:00 AM,10/01/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/01/2026,8:10 PM,10/01/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/02/2026,10:00 AM,10/02/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/02/2026,8:10 PM,10/02/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/03/2026,11:20 AM,10/03/2026,2:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/03/2026,5:20 PM,10/03/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/04/2026,10:00 AM,10/04/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/05/2026,10:00 AM,10/05/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/05/2026,8:10 PM,10/05/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/06/2026,10:00 AM,10/06/2026,6:30 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
AetherNet S4 — Trabajo,10/06/2026,8:10 PM,10/06/2026,11:00 PM,FALSE,"AetherNet — Sprint 4: LowCode, Estadística y Cierre | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)",Laboratorio UTP,FALSE
